"Indicativo","NOMBRE","PROVINCIA","MUNICIPIO","ALTITUD","LONGITUD","LATITUD","DATUM","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre","anual","Archivo_Origen"
"C249I","FUERTEVENTURA/AEROPUERTO","LAS PALMAS","PUERTO DEL ROSARIO",25,1351472,282641,"REGCAN95","10246","10232","10184","10175","10171","10179","10143","10144","10161","10184","10186","10195","10183","Q_MAR_2020.csv"
"C429I","TENERIFE/SUR","SANTA CRUZ DE TENERIFE","GRANADILLA DE ABONA",64,1633402,280249,"REGCAN95","10243","10225","10189","10181","10178","10181","10150","10149","10164","10184",NA,"10196",NA,"Q_MAR_2020.csv"
"C430E","IZAÑA","SANTA CRUZ DE TENERIFE","LA OROTAVA",2371,1629582,281832,"REGCAN95","10234","10223","10178","10159","10140","10136","10113","10121","10137","10167","10183","10195","10166","Q_MAR_2020.csv"
"C447A","TENERIFE/LOS RODEOS","SANTA CRUZ DE TENERIFE","SAN CRISTÓBAL DE LA LAGUNA",632,1619462,282839,"REGCAN95","10247","10230","10194","10182","10179","10184","10158","10156","10165","10188","10187","10199","10189","Q_MAR_2020.csv"
"C449C","STA.CRUZ DE TENERIFE","SANTA CRUZ DE TENERIFE","SANTA CRUZ DE TENERIFE",35,1615192,282748,"REGCAN95","10243","10229","10192","10179","10177","10181","10148","10151","10164","10185","10183","10195","10186","Q_MAR_2020.csv"
"C649I","GRAN CANARIA/AEROPUERTO","LAS PALMAS","INGENIO",32,1523432,275504,"REGCAN95","10246","10230",NA,"10178",NA,"10181","10146","10149","10164","10186","10187","10197",NA,"Q_MAR_2020.csv"
"C929I","HIERRO/AEROPUERTO","SANTA CRUZ DE TENERIFE","VALVERDE",32,1753202,274908,"REGCAN95","10244",NA,"10198","10186","10186",NA,"10163",NA,"10171",NA,"10187","10196",NA,"Q_MAR_2020.csv"
"0016A","REUS/AEROPUERTO","TARRAGONA","REUS",71,109491,410842,"ETRS89","10245(01)","10253(22)","10204(17)","10184(07)","10195(23)","10133(21)","10130(04)","10117(23)","10163(04)","10178(29)","10214(19)","10194(22)","10253(22/feb)","Q_MAX_2020.csv"
"0076",NA,NA,NA,NA,NA,NA,NA,"10330(01)","10340(22)","10291(17)","10273(07)","10280(24)","10215(21)","10216(04)","10201(23)","10247(04)","10267(29)","10302(21)","10280(21)","10340(22/feb)","Q_MAX_2020.csv"
"0200E","BARCELONA (FABRA)","BARCELONA","BARCELONA",408,207271,412506,"ETRS89","9825(25)","9840(22)","9796(17)","9778(07)","9795(24)","9738(21)","9737(04)","9730(23)","9770(04)","9777(29)","9802(19)","9781(21)","9840(22/feb)","Q_MAX_2020.csv"
"0367",NA,NA,NA,NA,NA,NA,NA,"10167(01)","10179(22)","10139(17)","10115(07)","10126(24)","","","10047(23)","","10110(29)","10148(21)","","","Q_MAX_2020.csv"
"1014","HONDARRIBIA-MALKARROA","GIPUZKOA","HONDARRIBIA",4,147322,432125,"ETRS89","10373(04)","10356(22)","10300(17)","10238(06)","10333(23)","10277(21)","10252(04)","10247(22)","10261(08)","10292(10)","10383(19)","10329(25)","10383(19/nov)","Q_MAX_2020.csv"
"1024E","SAN SEBASTIÁN,IGUELDO","GIPUZKOA","DONOSTIA/SAN SEBASTIÁN",251,202282,431823,"ETRS89","10058(04)","10070(04)","9986(17)","9931(06)","10020(23)","9977(21)","9961(12)","9950(22)","9964(07)","9985(10)","10067(19)","10017(26)","10070(04/feb)","Q_MAX_2020.csv"
"1082","BILBAO/AEROPUERTO","BIZKAIA","LOIU",42,254232,431753,"ETRS89","10342(04)","10319(04)","10257(17)","10200(06)","10301(23)","10240(21)","10215(03)","10215(22)","10229(07)","10260(10)","10348(19)","10291(25)","10348(19/nov)","Q_MAX_2020.csv"
"1109","SANTANDER/PARAYAS","CANTABRIA","CAMARGO",3,349322,432526,"ETRS89","10391(04)","10365(04)","10304(09)","10241(06)","10343(23)","10285(21)","10260(06)","10261(22)","10274(07)","10311(11)","10393(19)","10346(25)","10393(19/nov)","Q_MAX_2020.csv"
"1111","SANTANDER I,CMT","CANTABRIA","SANTANDER",52,348022,432928,"ETRS89","10312(04)","10291(04)","10228(17)","10166(07)","10270(23)","10220(21)","","10185(23)","10202(07)","10238(10)","10313(19)","","","Q_MAX_2020.csv"
"1208H","GIJÓN, MUSEL","ASTURIAS","GIJÓN",5,542032,433336,"ETRS89","10379(19)","10346(18)","10290(09)","10222(07)","10323(23)","10267(21)","10244(06)","10247(22)","10258(25)","10316(11)","10381(19)","10349(25)","10381(19/nov)","Q_MAX_2020.csv"
"1212E","ASTURIAS/AVILÉS","ASTURIAS","CASTRILLÓN",127,602392,433401,"ETRS89","10236(19)","10207(18)","","10082(07)","10179(23)","10133(21)","10108(06)","10109(22)","10120(25)","10170(11)","10231(19)","","","Q_MAX_2020.csv"
"1249I","OVIEDO","ASTURIAS","OVIEDO",336,552272,432112,"ETRS89","9973(19)","9952(18)","9901(09)","9829(07)","9927(23)","9873(21)","9857(04)","9860(22)","9871(25)","9913(11)","9972(19)","9940(25)","9973(19/ene)","Q_MAX_2020.csv"
"1387","A CORUÑA","A CORUÑA","A CORUÑA",58,825172,432157,"ETRS89","10305(04)","10293(18)","10241(09)","10149(07)","10248(23)","10199(21)","10184(03)","10186(22)","10216(25)","10251(11)","10295(19)","10274(25)","10305(04/ene)","Q_MAX_2020.csv"
"1387E","A CORUÑA/ALVEDRO","A CORUÑA","CULLEREDO",98,822192,431825,"ETRS89","10256(04)","10244(18)","10193(09)","10105(07)","10199(23)","10153(21)","10137(03)","10141(22)","10170(25)","10203(11)","10246(19)","10227(25)","10256(04/ene)","Q_MAX_2020.csv"
"1428","SANTIAGO DE COMPOSTELA/LABACOLLA","A CORUÑA","O PINO",370,824382,425317,"ETRS89","9932(04)","9926(18)","9879(09)","9797(07)","","9844(21)","9826(03)","9832(22)","9859(25)","9881(11)","9922(19)","9898(25)","","Q_MAX_2020.csv"
"1484C","PONTEVEDRA","PONTEVEDRA","PONTEVEDRA",108,836572,422618,"ETRS89","10229(04)","10232(18)","10185(09)","10094(07)","10166(23)","10143(21)","10112(02)","10122(22)","10159(25)","10171(11)","10203(19)","10197(26)","10232(18/feb)","Q_MAX_2020.csv"
"1495","VIGO/PEINADOR","PONTEVEDRA","REDONDELA",261,837262,421419,"ETRS89","10052(04)","10055(18)","10012(09)","","9989(23)","9973(21)","","","9988(25)","9994(11)","10029(19)","10017(26)","","Q_MAX_2020.csv"
"1505","LUGO/ROZAS","LUGO","CASTRO DE REI",445,727272,430641,"ETRS89","9842(04)","9838(18)","9785(09)","","9789(23)","9756(21)","9736(03)","9742(22)","9764(25)","9791(11)","9839(19)","9807(25)","","Q_MAX_2020.csv"
"1549","PONFERRADA","LEON","PONFERRADA",534,636002,423350,"ETRS89","9727(04)","9711(23)","9659(09)","9593(08)","9648(23)","9633(21)","9618(04)","","9635(25)","9663(11)","9710(19)","9686(26)","","Q_MAX_2020.csv"
"1690A","OURENSE","OURENSE","OURENSE",143,751352,421931,"ETRS89","10193(04)","10191(18)","10143(09)","","10116(23)","10087(21)","10072(04)","10077(22)","10108(25)","10122(11)","10171(19)","10160(26)","","Q_MAX_2020.csv"
"2030","SORIA","SORIA","SORIA",1082,228592,414630,"ETRS89","","9099(23)","9048(17)","9017(07)","9065(23)","9037(21)","9024(04)","9021(23)","9035(04)","9041(29)","9098(19)","9045(21)","","Q_MAX_2020.csv"
"2331","BURGOS/VILLAFRÍA","BURGOS","BURGOS",891,337132,422125,"ETRS89","9321(04)","9315(23)","9260(17)","9221(07)","9286(23)","9257(21)","9237(04)","9236(22)","9240(07)","9260(11)","9326(19)","9269(26)","9326(19/nov)","Q_MAX_2020.csv"
"2422","VALLADOLID","VALLADOLID","VALLADOLID",735,445162,413827,"ETRS89","9501(04)","9493(23)","9431(09)","9386(07)","9442(23)","9409(21)","9401(04)","9397(22)","9403(25)","9436(11)","9493(19)","9454(26)","9501(04/ene)","Q_MAX_2020.csv"
"2444","ÁVILA","AVILA","ÁVILA",1130,440482,403933,"ETRS89","9042(04)","9047(22)","8993(09)","8957(07)","9002(23)","8980(21)","8971(04)","8971(22)","8980(04)","8994(31)","","8999(21)","","Q_MAX_2020.csv"
"2462","NAVACERRADA,PUERTO","MADRID","CERCEDILLA",1894,400382,404735,"ETRS89","8242(01)","8267(23)","8215(10)","8181(07)","8236(23)","8224(21)","8216(04)","","8227(04)","8219(31)","8265(19)","8215(21)","","Q_MAX_2020.csv"
"2465","SEGOVIA","SEGOVIA","SEGOVIA",1005,407352,405643,"ETRS89","9186(04)","9182(22)","9130(09)","9093(07)","9135(23)","9113(21)","9103(04)","9104(22)","9106(04)","9129(31)","9185(19)","9138(21)","9186(04/ene)","Q_MAX_2020.csv"
"2539","VALLADOLID/VILLANUBLA","VALLADOLID","VILLANUBLA",846,451202,414243,"ETRS89","9373(04)","9365(23)","9305(09)","9262(07)","9319(23)","9290(21)","9279(04)","9277(22)","9280(25)","9311(11)","9366(19)","9324(26)","9373(04/ene)","Q_MAX_2020.csv"
"2614","ZAMORA","ZAMORA","ZAMORA",656,544072,413056,"ETRS89","9593(04)","9580(23)","9523(09)","9470(08)","9529(23)","9497(21)","9488(04)","9486(22)","9496(25)","9527(11)","9584(19)","9549(26)","9593(04/ene)","Q_MAX_2020.csv"
"2661","LEÓN/VIRGEN DEL CAMINO","LEON","VALVERDE DE LA VIRGEN",912,539042,423518,"ETRS89","9298(04)","9284(23)","9227(17)","9185(08)","9250(23)","9222(21)","9206(04)","9208(23)","9211(08)","9234(11)","9293(19)","9246(25)","9298(04/ene)","Q_MAX_2020.csv"
"2867","SALAMANCA/MATACAN","SALAMANCA","CALVARRASA DE ABAJO",790,529542,405734,"ETRS89","9426(04)","9417(23)","9367(09)","9319(07)","9365(23)","9342(21)","9330(04)","9332(22)","9342(25)","9367(11)","9423(19)","9383(25)","9426(04/ene)","Q_MAX_2020.csv"
"2870","SALAMANCA,OBS.","SALAMANCA","SALAMANCA",775,539442,405727,"ETRS89","9463(04)","9449(23)","9408(09)","9354(07)","9386(23)","9365(21)","9347(04)","","9367(25)","9394(11)","9452(19)","9424(26)","","Q_MAX_2020.csv"
"3013","MOLINA DE ARAGÓN","GUADALAJARA","MOLINA DE ARAGÓN",1062,152442,405030,"ETRS89","9116(04)","9130(23)","9063(17)","9039(07)","9082(23)","9062(21)","9050(04)","9040(22)","9062(04)","9073(30)","9118(19)","9077(21)","9130(23/feb)","Q_MAX_2020.csv"
"3129","MADRID/BARAJAS","MADRID","MADRID",609,333202,402800,"ETRS89","9658(04)","9663(23)","9597(10)","9566(07)","9590(24)","9563(22)","9554(04)","9547(22)","9577(04)","9605(29)","9644(19)","9620(21)","9663(23/feb)","Q_MAX_2020.csv"
"3175","MADRID/TORREJÓN","MADRID","TORREJÓN DE ARDOZ",607,326372,402919,"ETRS89","9622(04)","9628(23)","9562(10)","","","9529(21)","9520(04)","9515(22)","9544(04)","9571(29)","9609(19)","","","Q_MAX_2020.csv"
"3191E","COLMENAR VIEJO/FAMET","MADRID","COLMENAR VIEJO",1004,345542,404146,"ETRS89","9172(03)","","9127(10)","9097(07)","9130(24)","9107(21)","9101(04)","9095(22)","9120(04)","9131(29)","9171(19)","9138(21)","","Q_MAX_2020.csv"
"3195","MADRID,RETIRO","MADRID","MADRID",667,340412,402443,"ETRS89","","9562(23)","","","","","","","","","9544(19)","9520(21)","","Q_MAX_2020.csv"
"3196","MADRID/CUATRO VIENTOS","MADRID","MADRID",690,347102,402232,"ETRS89","9535(04)","9540(23)","9476(10)","9447(07)","","9446(21)","9439(04)","9434(22)","9461(04)","9486(29)","9523(19)","9497(21)","","Q_MAX_2020.csv"
"3200","MADRID/GETAFE","MADRID","GETAFE",620,343202,401758,"ETRS89","9616(04)","9621(23)","9557(10)","9530(07)","9549(24)","9523(21)","9513(04)","9512(22)","9535(04)","","9602(19)","9577(21)","","Q_MAX_2020.csv"
"3260B","TOLEDO","TOLEDO","TOLEDO",515,402432,395305,"ETRS89","9737(04)","9735(23)","9671(10)","9635(07)","9661(26)","9633(21)","9623(04)","9622(22)","9642(04)","9679(29)","9719(19)","9694(21)","9737(04/ene)","Q_MAX_2020.csv"
"3469A","CÁCERES","CACERES","CÁCERES",394,620202,392817,"ETRS89","9881(04)","9879(10)","9820(09)","9774(07)","9799(23)","9782(21)","9756(04)","9769(22)","9789(25)","9811(24)","9856(19)","9844(21)","9881(04/ene)","Q_MAX_2020.csv"
"367","GIRONA/COSTA BRAVA","GIRONA","VILOBÍ D'ONYAR",143,245481,415442,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4121","CIUDAD REAL","CIUDAD REAL","CIUDAD REAL",628,355132,385921,"ETRS89","9597(04)","9604(23)","9549(10)","9508(07)","9532(23)","9512(21)","9494(04)","","9513(04)","9551(29)","9581(19)","9571(21)","","Q_MAX_2020.csv"
"4452","BADAJOZ/TALAVERA LA REAL","BADAJOZ","BADAJOZ",185,648502,385300,"ETRS89","10119(04)","10121(10)","10061(09)","10005(07)","10029(23)","10017(21)","9979(04)","9998(22)","10027(25)","10049(24)","10079(19)","10086(21)","10121(10/feb)","Q_MAX_2020.csv"
"4642E","HUELVA, RONDA ESTE","HUELVA","HUELVA",19,654422,371642,"ETRS89","10318(03)","10318(10)","10260(09)","10215(07)","10216(01)","10218(15)","10178(04)","10184(22)","10220(25)","10256(24)","10259(19)","10282(21)","10318(03/ene)","Q_MAX_2020.csv"
"5000C","CEUTA","CEUTA","CEUTA",87,520492,355319,"ETRS89","10228(17)","10233(10)","10166(08)","10145(07)","10150(24)","10131(15)","10110(04)","10092(22)","10122(04)","10171(24)","10186(19)","10194(21)","10233(10/feb)","Q_MAX_2020.csv"
"5270B","JAÉN","JAEN","JAÉN",580,348322,374639,"ETRS89","9655(17)","9660(10)","9597(08)","9566(07)","9587(23)","","9550(04)","9556(22)","","9601(24)","9620(19)","9622(21)","","Q_MAX_2020.csv"
"5402","CÓRDOBA/AEROPUERTO","CORDOBA","CÓRDOBA",90,450482,375056,"ETRS89","10237(03)","10236(10)","10172(09)","10130(07)","10135(23)","","10094(04)","","10123(25)","10175(24)","10182(19)","10203(21)","","Q_MAX_2020.csv"
"5514","GRANADA/BASE AÉREA","GRANADA","ALHENDÍN",687,337532,370814,"ETRS89","9527(17)","9544(14)","9469(08)","9439(07)","9465(23)","9443(21)","9422(04)","9425(22)","9435(04)","9475(24)","9490(19)","9493(21)","9544(14/feb)","Q_MAX_2020.csv"
"5530E","GRANADA/AEROPUERTO","GRANADA","CHAUCHINA",567,347222,371123,"ETRS89","9672(17)","9674(10)","9607(08)","9579(07)","9600(23)","9578(21)","9556(04)","9560(22)","9572(04)","9616(24)","9630(19)","9638(21)","9674(10/feb)","Q_MAX_2020.csv"
"5783","SEVILLA/SAN PABLO","SEVILLA","SEVILLA",34,552452,372500,"ETRS89","10307(03)","","10245(09)","10201(07)","10203(01)","","","10168(22)","10203(25)","10245(24)","","10272(21)","","Q_MAX_2020.csv"
"5796","MORÓN DE LA FRONTERA","SEVILLA","ARAHAL",87,536412,370952,"ETRS89","10235(17)","10230(10)","","","10132(01)","10129(15)","10093(04)","10102(22)","10133(25)","10169(24)","10177(19)","10198(21)","","Q_MAX_2020.csv"
"5910","ROTA B.N.OBSERVATORIO'","CADIZ","ROTA",21,619572,363820,"ETRS89","10311(03)","10310(10)","10253(09)","10210(07)","10211(23)","10218(15)","10170(04)","10178(22)","","10244(24)","10248(19)","10255(20)","","Q_MAX_2020.csv"
"5960","JEREZ DE LA FRONTERA/AEROPUERTO","CADIZ","JEREZ DE LA FRONTERA",27,603212,364502,"ETRS89","10305(03)","","","10203(07)","10203(01)","10206(15)","","10171(22)","","","10250(19)","","","Q_MAX_2020.csv"
"5973","CÁDIZ,OBS.","CADIZ","CÁDIZ",2,615282,362959,"ETRS89","10337(03)","10336(10)","10276(09)","10233(07)","10235(01)","10246(15)","10198(04)","10202(22)","10235(25)","10273(24)","10275(19)","10296(21)","10337(03/ene)","Q_MAX_2020.csv"
"6000A","MELILLA","MELILLA","MELILLA",52,257232,351635,"ETRS89","10269(03)","10273(10)","10210(10)","10185(07)","10184(24)","10166(15)","10141(04)","10128(22)","10162(13)","10211(24)","10237(18)","10233(21)","10273(10/feb)","Q_MAX_2020.csv"
"6001","TARIFA","CADIZ","TARIFA",32,535562,360050,"ETRS89","10292(17)","10284(10)","","","","10196(15)","10149(04)","10153(22)","10178(25)","10228(24)","","10246(21)","","Q_MAX_2020.csv"
"6155A","MÁLAGA/AEROPUERTO","MALAGA","MÁLAGA",5,428562,363958,"ETRS89","10332(02)","10340(23)","10266(10)","10251(07)","10252(24)","10213(20)","10209(04)","10189(08)","10222(04)","10262(24)","10293(19)","10298(21)","10340(23/feb)","Q_MAX_2020.csv"
"6325O","ALMERÍA/AEROPUERTO","ALMERIA","ALMERÍA",21,221252,365047,"ETRS89","10312(02)","10318(23)","10250(10)","10231(07)","10224(24)","10196(20)","10180(04)","10167(08)","10200(03)","10243(24)","10275(19)","10278(21)","10318(23/feb)","Q_MAX_2020.csv"
"7031","MURCIA/SAN JAVIER","MURCIA","SAN JAVIER",4,48122,374720,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7178I","MURCIA","MURCIA","MURCIA",61,110152,380007,"ETRS89","10274(04)","10287(23)","10198(10)","10195(07)","10200(24)","10149(22)","10142(04)","10126(08)","10176(04)","10200(30)","10237(19)","10228(21)","10287(23/feb)","Q_MAX_2020.csv"
"7228","MURCIA/ALCANTARILLA","MURCIA","MURCIA",75,113432,375728,"ETRS89","10254(04)","10272(23)","10180(10)","10179(07)","10184(24)","10132(22)","10128(05)","10109(24)","10161(04)","10186(30)","10221(19)","10209(21)","10272(23/feb)","Q_MAX_2020.csv"
"76","BARCELONA/AEROPUERTO","BARCELONA","EL PRAT DE LLOBREGAT",4,204121,411734,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8019","ALICANTE-ELCHE/AEROPUERTO","ALICANTE","ELCHE/ELX",43,34152,381658,"ETRS89","10323(17)","10314(23)","10239(10)","10233(07)","10237(24)","10190(22)","10183(04)","","10212(04)","10237(29)","10271(19)","10261(21)","","Q_MAX_2020.csv"
